query,intent,sentiment,response
Do you offer international shipping for the smartwatch?,General Inquiry,Neutral,Thanks for reaching out! Here is the information you requested; feel free to ask if you need further clarification.
"Absolutely furious, my yoga mat broke down and support keeps ignoring me.",Complaint,Negative,We're sorry to hear about the trouble with your yoga mat. We have logged your complaint and a support specialist will reach out within 24 hours to resolve this.
"Thanks for approving my refund for the camera, just confirming the amount $330.19.",Refund,Positive,Your refund request for the camera has been received. Refunds are typically processed within 5-7 business days to your original payment method.
My order ORD717889 for the desk lamp is delayed by 9 days already!,Order Status,Negative,Thank you for checking in. Your order is being processed and tracking details will be shared via email as soon as it ships.
The yoga mat I purchased is defective and customer service has been terrible.,Complaint,Negative,We're sorry to hear about the trouble with your yoga mat. We have logged your complaint and a support specialist will reach out within 24 hours to resolve this.
"My air fryer keeps crashing and it's ruining my work, please help urgently.",Technical Issue,Negative,"We understand the technical difficulty you're facing with your air fryer. Please try restarting the device; if the issue persists, our technical team will assist you further."
My order ORD662275 for the desk lamp is delayed by 4 days already!,Order Status,Negative,Thank you for checking in. Your order is being processed and tracking details will be shared via email as soon as it ships.
"Someone accessed my account without permission, this is a serious security issue.",Account Issue,Negative,We take account security and access seriously. Our team has been notified and will help you regain access or resolve the account issue shortly.
The backpack I purchased is defective and customer service has been terrible.,Complaint,Negative,We're sorry to hear about the trouble with your backpack. We have logged your complaint and a support specialist will reach out within 24 hours to resolve this.
"This smartwatch is faulty, I want my money of $419.54 back right now.",Refund,Negative,Your refund request for the smartwatch has been received. Refunds are typically processed within 5-7 business days to your original payment method.
Please initiate a refund for the office chair under order id ORD802729.,Refund,Neutral,Your refund request for the office chair has been received. Refunds are typically processed within 5-7 business days to your original payment method.
What payment methods do you accept for buying a bluetooth speaker?,General Inquiry,Neutral,Thanks for reaching out! Here is the information you requested; feel free to ask if you need further clarification.
"I want to delete my account permanently, please guide me.",Account Issue,Neutral,We take account security and access seriously. Our team has been notified and will help you regain access or resolve the account issue shortly.
"I am extremely disappointed with my monitor, it stopped working after 9 days.",Complaint,Negative,We're sorry to hear about the trouble with your monitor. We have logged your complaint and a support specialist will reach out within 24 hours to resolve this.
"Just checking, is order ORD787277 for my office chair on track? Thanks!",Order Status,Positive,Thank you for checking in. Your order is being processed and tracking details will be shared via email as soon as it ships.
I love your smartwatch! Can you tell me if a newer version is coming soon?,General Inquiry,Positive,Thanks for reaching out! Here is the information you requested; feel free to ask if you need further clarification.
"It's been 12 days and my printer still hasn't shipped, unacceptable.",Order Status,Negative,Thank you for checking in. Your order is being processed and tracking details will be shared via email as soon as it ships.
"Thanks for approving my refund for the smartphone, just confirming the amount $432.63.",Refund,Positive,Your refund request for the smartphone has been received. Refunds are typically processed within 5-7 business days to your original payment method.
"Thanks for approving my refund for the yoga mat, just confirming the amount $201.61.",Refund,Positive,Your refund request for the yoga mat has been received. Refunds are typically processed within 5-7 business days to your original payment method.
"It's been 22 days and my camera still hasn't shipped, unacceptable.",Order Status,Negative,Thank you for checking in. Your order is being processed and tracking details will be shared via email as soon as it ships.
"Your support team has been amazing, quick question about the monitor warranty.",General Inquiry,Positive,Thanks for reaching out! Here is the information you requested; feel free to ask if you need further clarification.
I'm reporting a problem with the router I ordered order id ORD738551.,Complaint,Neutral,We're sorry to hear about the trouble with your router. We have logged your complaint and a support specialist will reach out within 24 hours to resolve this.
"Thanks for approving my refund for the external hard drive, just confirming the amount $24.45.",Refund,Positive,Your refund request for the external hard drive has been received. Refunds are typically processed within 5-7 business days to your original payment method.
I'm facing a technical issue where my laptop charger won't turn on.,Technical Issue,Neutral,"We understand the technical difficulty you're facing with your laptop charger. Please try restarting the device; if the issue persists, our technical team will assist you further."
The tablet I purchased is defective and customer service has been terrible.,Complaint,Negative,We're sorry to hear about the trouble with your tablet. We have logged your complaint and a support specialist will reach out within 24 hours to resolve this.
When will my tablet from order ORD676510 be delivered?,Order Status,Neutral,Thank you for checking in. Your order is being processed and tracking details will be shared via email as soon as it ships.
My order ORD891952 for the camera is delayed by 24 days already!,Order Status,Negative,Thank you for checking in. Your order is being processed and tracking details will be shared via email as soon as it ships.
"Great service so far, just wondering if the keyboard comes with accessories.",General Inquiry,Positive,Thanks for reaching out! Here is the information you requested; feel free to ask if you need further clarification.
"This is the worst smartphone I have ever bought, completely unusable.",Complaint,Negative,We're sorry to hear about the trouble with your smartphone. We have logged your complaint and a support specialist will reach out within 24 hours to resolve this.
"Thanks for approving my refund for the wireless headphones, just confirming the amount $321.08.",Refund,Positive,Your refund request for the wireless headphones has been received. Refunds are typically processed within 5-7 business days to your original payment method.
"I demand a refund immediately for my monitor, it's been 17 days with no response.",Refund,Negative,Your refund request for the monitor has been received. Refunds are typically processed within 5-7 business days to your original payment method.
I love your camera! Can you tell me if a newer version is coming soon?,General Inquiry,Positive,Thanks for reaching out! Here is the information you requested; feel free to ask if you need further clarification.
"Just checking, is order ORD922733 for my backpack on track? Thanks!",Order Status,Positive,Thank you for checking in. Your order is being processed and tracking details will be shared via email as soon as it ships.
"I demand a refund immediately for my yoga mat, it's been 14 days with no response.",Refund,Negative,Your refund request for the yoga mat has been received. Refunds are typically processed within 5-7 business days to your original payment method.
Is there a student discount available on the running shoes?,General Inquiry,Neutral,Thanks for reaching out! Here is the information you requested; feel free to ask if you need further clarification.
"This is the worst office chair I have ever bought, completely unusable.",Complaint,Negative,We're sorry to hear about the trouble with your office chair. We have logged your complaint and a support specialist will reach out within 24 hours to resolve this.
How long does a refund for a backpack usually take to process?,Refund,Neutral,Your refund request for the backpack has been received. Refunds are typically processed within 5-7 business days to your original payment method.
Can you tell me the current status of order ORD976638?,Order Status,Neutral,Thank you for checking in. Your order is being processed and tracking details will be shared via email as soon as it ships.
"This tablet is faulty, I want my money of $434.36 back right now.",Refund,Negative,Your refund request for the tablet has been received. Refunds are typically processed within 5-7 business days to your original payment method.
I've complained about my wireless headphones three times and nothing has been fixed.,Complaint,Negative,We're sorry to hear about the trouble with your wireless headphones. We have logged your complaint and a support specialist will reach out within 24 hours to resolve this.
"My account shows incorrect billing information, please correct it.",Account Issue,Neutral,We take account security and access seriously. Our team has been notified and will help you regain access or resolve the account issue shortly.
