question,answer
What is your return policy?,"You can return any item within 30 days of delivery for a full refund, provided it is unused and in original packaging."
How long does shipping take?,Standard shipping takes 3-5 business days. Express shipping takes 1-2 business days.
How do I track my order?,"You can track your order using the tracking link sent to your email, or by checking the 'Order Status' section in your account."
Do you ship internationally?,"Yes, we ship to over 50 countries. International delivery typically takes 7-14 business days."
How do I reset my password?,Go to the login page and click 'Forgot Password'. You'll receive a reset link via email within a few minutes.
What payment methods are accepted?,"We accept all major credit/debit cards, UPI, PayPal, and net banking."
How do I cancel my order?,"You can cancel an order within 1 hour of placing it from the 'My Orders' page. After that, please contact support."
What is your warranty policy?,Most electronics come with a 1-year manufacturer warranty covering defects in materials and workmanship.
How can I contact customer support?,"You can chat with us right here, email support@example.com, or call our 24/7 helpline."
Do you offer student discounts?,"Yes, students get 10% off with a valid student ID verified through our partner platform."
How do I update my shipping address?,Go to Account Settings > Addresses to add or edit your shipping address before placing an order.
Can I change my order after placing it?,Orders can be modified within 1 hour of placement. Please contact support immediately for changes.
What should I do if I received a damaged product?,Please raise a complaint with photos of the damaged item within 48 hours of delivery for a replacement or refund.
How do refunds work?,Refunds are credited to your original payment method within 5-7 business days after the returned item is received and inspected.
Is there a loyalty or rewards program?,"Yes, our Rewards Program lets you earn points on every purchase, redeemable for discounts on future orders."
